Date ,Country,Factory,Style #,Style description,Inspection Type,PO,Order QTY,Status,Exit Factory Date,Brand,QTY of Inspection Date Changes,Date Report Emailed to Factory,Comments
"Monday, May 4, 2026",Bangladesh,Kadena Sportwear Ltd,3183-S06,MOJAVE PANT ITB,1ST INLINE,PO3687,49,FAIL,01/05/2026,KLIM, , , 
"Monday, May 4, 2026",Bangladesh,Kadena Sportwear Ltd,3142-S05,DARKAR PANT OTB,1ST INLINE,PO3687,55,FAIL,01/05/2026,KLIM, , , 
"Monday, May 4, 2026",Bangladesh,Kadena Sportwear Ltd,3143-S05,MOJAVE PANT,1ST INLINE,PO3687,49,FAIL,01/05/2026,KLIM, , , 
"Monday, May 4, 2026",Bangladesh,Kadena Sportwear Ltd,3302-001, ALLOY JACKET,PPM,PO3667,1165,N/A, ,KLIM, , , 
"Monday, May 4, 2026", , , ,"Back to home by car, reached home about  11 pm", , , , , , , , , 
"Tuesday, May 5, 2026", , , ,Go to Kadena by car and bus reached about 11am, , , , , , , , , 
"Tuesday, May 5, 2026",Bangladesh,Kadena Sportwear Ltd,P415-001,MENS HEATED LINER GLOVE,1ST INLINE,P375878.KA,1000,FAIL,16/05/2026,POLARIS, , , 
"Tuesday, May 5, 2026",Bangladesh,Kadena Sportwear Ltd,3375-006 ,TOMAHAWK BIB,2ND INLINE,PO3667,1001,FAIL, ,KLIM, , , 
"Tuesday, May 5, 2026",Bangladesh,Kadena Sportwear Ltd,3254-002,Transition Softshell Pant,2ND INLINE,PO3681,1001,PASS, ,KLIM, , , 
"Tuesday, May 5, 2026",Bangladesh,Kadena Sportwear Ltd,3395-001, OVERRIDE ALLOY  PANT,2ND INLINE,PO3667,712,PASS, ,KLIM, , , 
